player_id,x_bin,y_bin,point_count,standard_event_points,freeze_frame_points,density
2941,0,1,3,1,2,0.0050933786078098476
2941,0,4,1,0,1,0.001697792869269949
2941,0,5,4,0,4,0.006791171477079796
2941,1,1,2,1,1,0.003395585738539898
2941,1,2,7,1,6,0.011884550084889643
2941,1,3,2,0,2,0.003395585738539898
2941,1,4,1,0,1,0.001697792869269949
2941,1,5,3,0,3,0.0050933786078098476
2941,1,6,3,0,3,0.0050933786078098476
2941,1,7,1,0,1,0.001697792869269949
2941,2,0,5,2,3,0.008488964346349746
2941,2,1,4,0,4,0.006791171477079796
2941,2,2,5,1,4,0.008488964346349746
2941,2,3,1,0,1,0.001697792869269949
2941,2,5,3,0,3,0.0050933786078098476
2941,2,6,2,0,2,0.003395585738539898
2941,2,7,3,0,3,0.0050933786078098476
2941,3,0,7,2,5,0.011884550084889643
2941,3,1,5,1,4,0.008488964346349746
2941,3,2,1,1,0,0.001697792869269949
2941,3,3,1,0,1,0.001697792869269949
2941,3,5,2,1,1,0.003395585738539898
2941,3,6,5,1,4,0.008488964346349746
2941,3,7,4,0,4,0.006791171477079796
2941,4,0,10,1,9,0.01697792869269949
2941,4,1,6,1,5,0.010186757215619695
2941,4,2,4,1,3,0.006791171477079796
2941,4,5,2,0,2,0.003395585738539898
2941,4,6,8,1,7,0.013582342954159592
2941,4,7,4,1,3,0.006791171477079796
2941,5,0,13,4,9,0.022071307300509338
2941,5,1,4,2,2,0.006791171477079796
2941,5,2,5,1,4,0.008488964346349746
2941,5,3,1,0,1,0.001697792869269949
2941,5,5,3,1,2,0.0050933786078098476
2941,5,6,4,0,4,0.006791171477079796
2941,5,7,4,0,4,0.006791171477079796
2941,6,0,12,3,9,0.02037351443123939
2941,6,1,10,4,6,0.01697792869269949
2941,6,2,6,1,5,0.010186757215619695
2941,6,5,3,0,3,0.0050933786078098476
2941,6,6,8,3,5,0.013582342954159592
2941,6,7,9,2,7,0.015280135823429542
2941,7,0,27,5,22,0.04584040747028863
2941,7,1,21,5,16,0.035653650254668934
2941,7,2,6,3,3,0.010186757215619695
2941,7,4,1,0,1,0.001697792869269949
2941,7,5,3,0,3,0.0050933786078098476
2941,7,6,6,2,4,0.010186757215619695
2941,7,7,4,0,4,0.006791171477079796
2941,8,0,33,7,26,0.05602716468590832
2941,8,1,7,2,5,0.011884550084889643
2941,8,2,9,3,6,0.015280135823429542
2941,8,3,3,0,3,0.0050933786078098476
2941,8,5,5,1,4,0.008488964346349746
2941,8,6,11,4,7,0.01867572156196944
2941,8,7,6,1,5,0.010186757215619695
2941,9,0,31,10,21,0.05263157894736842
2941,9,1,14,5,9,0.023769100169779286
2941,9,2,6,3,3,0.010186757215619695
2941,9,3,10,4,6,0.01697792869269949
2941,9,4,12,3,9,0.02037351443123939
2941,9,5,7,3,4,0.011884550084889643
2941,9,6,13,4,9,0.022071307300509338
2941,9,7,8,2,6,0.013582342954159592
2941,10,0,32,12,20,0.05432937181663837
2941,10,1,21,11,10,0.035653650254668934
2941,10,2,23,10,13,0.03904923599320883
2941,10,3,3,2,1,0.0050933786078098476
2941,10,4,12,6,6,0.02037351443123939
2941,10,5,7,1,6,0.011884550084889643
2941,10,7,11,8,3,0.01867572156196944
2941,11,0,2,2,0,0.003395585738539898
2941,11,1,2,1,1,0.003395585738539898
2941,11,2,15,6,9,0.025466893039049237
2941,11,3,5,3,2,0.008488964346349746
2941,11,4,10,5,5,0.01697792869269949
2941,11,5,2,1,1,0.003395585738539898
2941,11,6,7,3,4,0.011884550084889643
2941,11,7,3,2,1,0.0050933786078098476
2954,0,4,1,1,0,0.0035211267605633804
2954,0,7,1,0,1,0.0035211267605633804
2954,1,2,5,2,3,0.017605633802816902
2954,1,3,1,0,1,0.0035211267605633804
2954,1,4,1,0,1,0.0035211267605633804
2954,1,5,5,1,4,0.017605633802816902
2954,2,0,2,1,1,0.007042253521126761
2954,2,1,5,2,3,0.017605633802816902
2954,2,2,2,1,1,0.007042253521126761
2954,2,3,2,0,2,0.007042253521126761
2954,2,4,13,3,10,0.045774647887323945
2954,2,6,3,0,3,0.01056338028169014
2954,3,1,2,0,2,0.007042253521126761
2954,3,2,6,3,3,0.02112676056338028
2954,3,3,1,1,0,0.0035211267605633804
2954,3,4,5,2,3,0.017605633802816902
2954,3,5,10,4,6,0.035211267605633804
2954,3,6,4,2,2,0.014084507042253521
2954,3,7,6,2,4,0.02112676056338028
2954,4,1,1,0,1,0.0035211267605633804
2954,4,2,2,0,2,0.007042253521126761
2954,4,3,9,3,6,0.03169014084507042
2954,4,4,4,1,3,0.014084507042253521
2954,4,5,4,3,1,0.014084507042253521
2954,4,6,13,3,10,0.045774647887323945
2954,4,7,4,2,2,0.014084507042253521
